Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 81 /300 ]    | -1.0188  | -1.0138  |  0.9573  |     1.0602      |   0.4137   |    0.5423    | 0.4694  |
[ 82 /300 ]    | -1.0412  | -1.1463  |  0.9570  |     1.0782      |   0.4064   |    0.5610    | 0.4714  |
[ 83 /300 ]    | -1.0170  | -1.1914  |  0.9586  |     1.0565      |   0.3988   |    0.5681    | 0.4686  |
[ 84 /300 ]    | -0.9860  | -1.2986  |  0.9572  |     1.0253      |   0.3983   |    0.5662    | 0.4677  |
[ 85 /300 ]    | -1.0226  | -1.1808  |  0.9578  |     1.0585      |   0.4145   |    0.5620    | 0.4771  |
[ 86 /300 ]    | -1.0236  | -1.2536  |  0.9590  |     1.0674      |   0.4225   |    0.5364    | 0.4727  |
[ 87 /300 ]    | -0.9893  | -1.3776  |  0.9585  |     1.0275      |   0.3985   |    0.5556    | 0.4641  |
[ 88 /300 ]    | -1.0269  | -1.3601  |  0.9585  |     1.0666      |   0.4205   |    0.5282    | 0.4682  |
[ 89 /300 ]    | -1.0115  | -1.3738  |  0.9595  |     1.0482      |   0.4123   |    0.5485    | 0.4707  |
[ 90 /300 ]    | -1.0136  | -1.4785  |  0.9584  |     1.0542      |   0.4091   |    0.5454    | 0.4675  |
[ 91 /300 ]    | -1.0103  | -1.5511  |  0.9608  |     1.0436      |   0.4104   |    0.5464    | 0.4687  |
[ 92 /300 ]    | -1.0132  | -1.4513  |  0.9620  |     1.0552      |   0.4129   |    0.5320    | 0.4649  |
[ 93 /300 ]    | -1.0077  | -1.4477  |  0.9617  |     1.0481      |   0.4230   |    0.5414    | 0.4749  |
[ 94 /300 ]    | -1.0152  | -1.5317  |  0.9622  |     1.0578      |   0.4215   |    0.5343    | 0.4713  |
[ 95 /300 ]    | -1.0016  | -1.6831  |  0.9634  |     1.0410      |   0.4140   |    0.5513    | 0.4729  |
[ 96 /300 ]    | -0.9601  | -1.5819  |  0.9628  |     0.9972      |   0.4230   |    0.5396    | 0.4743  |
[ 97 /300 ]    | -1.0288  | -1.5346  |  0.9625  |     1.0670      |   0.4027   |    0.5700    | 0.4719  |
[ 98 /300 ]    | -1.0032  | -1.7716  |  0.9624  |     1.0404      |   0.4348   |    0.5287    | 0.4771  |
[ 99 /300 ]    | -0.9867  | -1.7099  |  0.9630  |     1.0276      |   0.4200   |    0.5432    | 0.4737  |
[100 /300 ]    | -1.0255  | -1.8969  |  0.9642  |     1.0706      |   0.4110   |    0.5805    | 0.4813  |
[101 /300 ]    | -1.0123  | -1.7291  |  0.9643  |     1.0518      |   0.4099   |    0.5705    | 0.4771  |
[102 /300 ]    | -0.9811  | -1.8290  |  0.9656  |     1.0224      |   0.4020   |    0.5652    | 0.4698  |
[103 /300 ]    | -0.9701  | -1.9511  |  0.9642  |     1.0091      |   0.4134   |    0.5510    | 0.4724  |
[104 /300 ]    | -0.9880  | -1.8960  |  0.9649  |     1.0263      |   0.4015   |    0.5829    | 0.4755  |
[105 /300 ]    | -0.9674  | -1.8580  |  0.9654  |     1.0007      |   0.4203   |    0.5464    | 0.4751  |
[106 /300 ]    | -0.9420  | -1.8483  |  0.9651  |     0.9770      |   0.4003   |    0.5854    | 0.4755  |
[107 /300 ]    | -0.9622  | -1.9162  |  0.9664  |     1.0034      |   0.4102   |    0.5642    | 0.4751  |
[108 /300 ]    | -0.9935  | -2.1495  |  0.9657  |     1.0286      |   0.4080   |    0.5804    | 0.4792  |
[109 /300 ]    | -0.9682  | -1.9437  |  0.9674  |     1.0035      |   0.4343   |    0.5358    | 0.4797  |
[110 /300 ]    | -0.9774  | -1.9846  |  0.9673  |     1.0153      |   0.4356   |    0.5238    | 0.4756  |
[111 /300 ]    | -1.0143  | -2.2289  |  0.9671  |     1.0563      |   0.4251   |    0.5516    | 0.4801  |
[112 /300 ]    | -0.9852  | -2.1555  |  0.9687  |     1.0221      |   0.4225   |    0.5610    | 0.4820  |
[113 /300 ]    | -0.9861  | -2.0280  |  0.9682  |     1.0385      |   0.4263   |    0.5459    | 0.4787  |
[114 /300 ]    | -0.9741  | -2.1348  |  0.9675  |     1.0096      |   0.4215   |    0.5588    | 0.4805  |
[115 /300 ]    | -0.9723  | -2.1030  |  0.9688  |     1.0147      |   0.4246   |    0.5647    | 0.4847  |
[116 /300 ]    | -1.0297  | -2.2585  |  0.9688  |     1.0779      |   0.4391   |    0.5297    | 0.4802  |
[117 /300 ]    | -0.9515  | -2.0768  |  0.9683  |     0.9871      |   0.4244   |    0.5444    | 0.4770  |
[118 /300 ]    | -1.0012  | -2.2843  |  0.9684  |     1.0408      |   0.4156   |    0.5645    | 0.4788  |
[119 /300 ]    | -0.9698  | -2.1407  |  0.9691  |     1.0113      |   0.4229   |    0.5554    | 0.4802  |
[120 /300 ]    | -0.9880  | -2.3246  |  0.9700  |     1.0277      |   0.4111   |    0.5943    | 0.4860  |
[121 /300 ]    | -0.9990  | -2.3345  |  0.9691  |     1.0443      |   0.4312   |    0.5422    | 0.4803  |
[122 /300 ]    | -0.9844  | -2.3347  |  0.9691  |     1.0236      |   0.4150   |    0.5805    | 0.4840  |
[123 /300 ]    | -0.9406  | -2.4861  |  0.9703  |     0.9785      |   0.4379   |    0.5514    | 0.4881  |
[124 /300 ]    | -0.9709  | -2.3705  |  0.9708  |     1.0201      |   0.4241   |    0.5605    | 0.4829  |
[125 /300 ]    | -0.9843  | -2.3513  |  0.9704  |     1.0265      |   0.4301   |    0.5741    | 0.4918  |
[126 /300 ]    | -0.9902  | -2.5254  |  0.9713  |     1.0305      |   0.4429   |    0.5435    | 0.4881  |
[127 /300 ]    | -0.9556  | -2.4200  |  0.9705  |     0.9936      |   0.4353   |    0.5495    | 0.4857  |
[128 /300 ]    | -0.9767  | -2.6445  |  0.9711  |     1.0114      |   0.4180   |    0.5880    | 0.4886  |
[129 /300 ]    | -1.0093  | -2.5476  |  0.9710  |     1.0499      |   0.4310   |    0.5716    | 0.4915  |
[130 /300 ]    | -0.9851  | -2.5128  |  0.9712  |     1.0224      |   0.4489   |    0.5348    | 0.4881  |
[131 /300 ]    | -0.9973  | -2.5714  |  0.9722  |     1.0368      |   0.4106   |    0.5897    | 0.4841  |
[132 /300 ]    | -0.9494  | -2.5013  |  0.9721  |     0.9919      |   0.4561   |    0.5310    | 0.4907  |
[133 /300 ]    | -0.9784  | -2.4698  |  0.9720  |     1.0149      |   0.4267   |    0.5658    | 0.4865  |
[134 /300 ]    | -0.9638  | -2.5118  |  0.9732  |     1.0062      |   0.4490   |    0.5370    | 0.4891  |
[135 /300 ]    | -0.9697  | -2.5925  |  0.9737  |     1.0173      |   0.4374   |    0.5597    | 0.4911  |
[136 /300 ]    | -1.0221  | -2.6619  |  0.9734  |     1.0675      |   0.4289   |    0.5664    | 0.4882  |
[137 /300 ]    | -0.9405  | -2.5517  |  0.9738  |     0.9812      |   0.4607   |    0.5379    | 0.4963  |
[138 /300 ]    | -1.0148  | -2.7375  |  0.9731  |     1.0567      |   0.4235   |    0.5797    | 0.4894  |
[139 /300 ]    | -0.9919  | -2.8134  |  0.9729  |     1.0368      |   0.4284   |    0.5598    | 0.4854  |
[140 /300 ]    | -0.9453  | -2.7594  |  0.9737  |     0.9892      |   0.4428   |    0.5572    | 0.4935  |
[141 /300 ]    | -1.0234  | -2.7459  |  0.9746  |     1.0688      |   0.4344   |    0.5668    | 0.4919  |
[142 /300 ]    | -0.9839  | -2.7486  |  0.9740  |     1.0273      |   0.4200   |    0.5879    | 0.4899  |
[143 /300 ]    | -0.9738  | -2.7960  |  0.9736  |     1.0207      |   0.4401   |    0.5655    | 0.4950  |
[144 /300 ]    | -0.9388  | -2.7518  |  0.9745  |     0.9783      |   0.4440   |    0.5596    | 0.4952  |
[145 /300 ]    | -0.9579  | -2.7859  |  0.9744  |     1.0020      |   0.4453   |    0.5561    | 0.4946  |
[146 /300 ]    | -0.9819  | -2.9423  |  0.9749  |     1.0271      |   0.4231   |    0.5874    | 0.4919  |
[147 /300 ]    | -0.9533  | -2.8955  |  0.9750  |     0.9920      |   0.4412   |    0.5628    | 0.4946  |
[148 /300 ]    | -0.9676  | -2.7560  |  0.9760  |     1.0076      |   0.4599   |    0.5401    | 0.4968  |
[149 /300 ]    | -0.9631  | -2.9396  |  0.9748  |     1.0004      |   0.4543   |    0.5460    | 0.4960  |
[150 /300 ]    | -0.9570  | -2.8649  |  0.9754  |     0.9910      |   0.4293   |    0.5756    | 0.4918  |
[151 /300 ]    | -0.9855  | -2.8382  |  0.9757  |     1.0292      |   0.4668   |    0.5303    | 0.4965  |
[152 /300 ]    | -0.9694  | -2.9605  |  0.9759  |     1.0096      |   0.4487   |    0.5477    | 0.4933  |
[153 /300 ]    | -0.9412  | -2.8048  |  0.9756  |     0.9885      |   0.4146   |    0.5830    | 0.4846  |
