Namespace(attSize=102, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7211
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 83 /300 ]    | -0.5644  | -1.1985  |  0.3210  |  0.9407  |     0.5912      |    0.3611    |   0.3112   | 0.3343  |
[ 84 /300 ]    | -0.5806  | -1.1768  |  0.3685  |  0.9405  |     0.6071      |    0.3625    |   0.3050   | 0.3313  |
[ 85 /300 ]    | -0.5808  | -1.1230  |  0.3539  |  0.9402  |     0.6076      |    0.3646    |   0.3062   | 0.3329  |
[ 86 /300 ]    | -0.5891  | -1.1620  |  0.3819  |  0.9414  |     0.6162      |    0.3708    |   0.3027   | 0.3333  |
[ 87 /300 ]    | -0.6011  | -1.2738  |  0.3689  |  0.9398  |     0.6259      |    0.3694    |   0.3058   | 0.3346  |
[ 88 /300 ]    | -0.6123  | -1.2393  |  0.3854  |  0.9411  |     0.6378      |    0.3590    |   0.3019   | 0.3280  |
[ 89 /300 ]    | -0.6095  | -1.1877  |  0.3903  |  0.9376  |     0.6344      |    0.3729    |   0.2926   | 0.3279  |
[ 90 /300 ]    | -0.6124  | -1.1825  |  0.3578  |  0.9418  |     0.6382      |    0.3715    |   0.3012   | 0.3327  |
[ 91 /300 ]    | -0.6108  | -1.1618  |  0.3880  |  0.9418  |     0.6363      |    0.3597    |   0.3043   | 0.3297  |
[ 92 /300 ]    | -0.6406  | -1.1961  |  0.3807  |  0.9420  |     0.6649      |    0.3653    |   0.3058   | 0.3329  |
[ 93 /300 ]    | -0.6484  | -1.1354  |  0.3700  |  0.9393  |     0.6740      |    0.3771    |   0.3039   | 0.3365  |
[ 94 /300 ]    | -0.6460  | -1.1241  |  0.4109  |  0.9437  |     0.6700      |    0.3701    |   0.2996   | 0.3312  |
[ 95 /300 ]    | -0.6519  | -1.1837  |  0.4106  |  0.9425  |     0.6769      |    0.3792    |   0.3000   | 0.3350  |
[ 96 /300 ]    | -0.6652  | -1.1639  |  0.3622  |  0.9419  |     0.6890      |    0.3813    |   0.3031   | 0.3377  |
[ 97 /300 ]    | -0.6656  | -1.1118  |  0.3810  |  0.9438  |     0.6892      |    0.4000    |   0.2895   | 0.3359  |
[ 98 /300 ]    | -0.6748  | -1.0939  |  0.3840  |  0.9411  |     0.7000      |    0.4104    |   0.2915   | 0.3409  |
[ 99 /300 ]    | -0.6790  | -1.0649  |  0.3743  |  0.9419  |     0.7037      |    0.3944    |   0.3008   | 0.3413  |
[100 /300 ]    | -0.6854  | -1.0704  |  0.3962  |  0.9432  |     0.7106      |    0.4146    |   0.2919   | 0.3426  |
[101 /300 ]    | -0.6913  | -1.0889  |  0.3924  |  0.9423  |     0.7147      |    0.3896    |   0.2996   | 0.3387  |
[102 /300 ]    | -0.6880  | -1.0698  |  0.3742  |  0.9429  |     0.7117      |    0.4056    |   0.3031   | 0.3469  |
[103 /300 ]    | -0.7121  | -1.0884  |  0.3879  |  0.9434  |     0.7363      |    0.4028    |   0.2988   | 0.3431  |
[104 /300 ]    | -0.7176  | -1.0380  |  0.3847  |  0.9427  |     0.7426      |    0.4174    |   0.3019   | 0.3504  |
[105 /300 ]    | -0.7271  | -1.0190  |  0.3851  |  0.9434  |     0.7529      |    0.4056    |   0.3050   | 0.3482  |
[106 /300 ]    | -0.7348  | -1.1067  |  0.3661  |  0.9452  |     0.7605      |    0.4042    |   0.2984   | 0.3434  |
[107 /300 ]    | -0.7434  | -1.0555  |  0.3793  |  0.9444  |     0.7682      |    0.4125    |   0.2996   | 0.3471  |
[108 /300 ]    | -0.7386  | -1.0345  |  0.3756  |  0.9449  |     0.7663      |    0.4063    |   0.2996   | 0.3449  |
[109 /300 ]    | -0.7479  | -1.0440  |  0.3705  |  0.9458  |     0.7728      |    0.4125    |   0.3004   | 0.3476  |
[110 /300 ]    | -0.7516  | -1.0918  |  0.3563  |  0.9432  |     0.7774      |    0.4139    |   0.2984   | 0.3468  |
