Namespace(attSize=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1024)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[126 /300 ]    | -1.8391  |  0.0438  |  0.7683  |     1.9542      |   0.4034   |    0.7280    | 0.5191  |
[127 /300 ]    | -1.8407  |  0.0011  |  0.7686  |     1.9417      |   0.3821   |    0.6967    | 0.4936  |
[128 /300 ]    | -1.8410  | -0.0732  |  0.7685  |     1.9142      |   0.4227   |    0.6651    | 0.5169  |
[129 /300 ]    | -1.8281  |  0.1162  |  0.7682  |     1.9248      |   0.4095   |    0.7560    | 0.5313  |
[130 /300 ]    | -1.8179  | -0.0601  |  0.7682  |     1.8963      |   0.3947   |    0.7122    | 0.5079  |
[131 /300 ]    | -1.8365  |  0.0432  |  0.7688  |     1.9195      |   0.3798   |    0.7634    | 0.5072  |
[132 /300 ]    | -1.8149  | -0.0028  |  0.7685  |     1.8957      |   0.3905   |    0.7304    | 0.5090  |
[133 /300 ]    | -1.7826  |  0.0320  |  0.7695  |     1.8603      |   0.4126   |    0.6936    | 0.5174  |
[134 /300 ]    | -1.7781  |  0.0382  |  0.7696  |     1.8565      |   0.3933   |    0.7652    | 0.5196  |
[135 /300 ]    | -1.7950  |  0.0354  |  0.7696  |     1.8783      |   0.4186   |    0.6931    | 0.5219  |
[136 /300 ]    | -1.7991  |  0.0166  |  0.7702  |     1.8843      |   0.3911   |    0.7561    | 0.5155  |
[137 /300 ]    | -1.7742  |  0.1030  |  0.7683  |     1.8594      |   0.4073   |    0.7254    | 0.5217  |
[138 /300 ]    | -1.7595  |  0.1700  |  0.7694  |     1.8351      |   0.4064   |    0.7558    | 0.5286  |
[139 /300 ]    | -1.7667  |  0.1121  |  0.7718  |     1.8570      |   0.4038   |    0.7527    | 0.5256  |
[140 /300 ]    | -1.7606  |  0.0100  |  0.7709  |     1.8269      |   0.4155   |    0.7190    | 0.5267  |
[141 /300 ]    | -1.7540  |  0.1705  |  0.7701  |     1.8312      |   0.4206   |    0.7269    | 0.5329  |
[142 /300 ]    | -1.7427  |  0.1241  |  0.7697  |     1.8131      |   0.3870   |    0.7585    | 0.5125  |
[143 /300 ]    | -1.7418  |  0.0583  |  0.7705  |     1.8192      |   0.4135   |    0.6990    | 0.5196  |
[144 /300 ]    | -1.7233  |  0.1666  |  0.7717  |     1.8138      |   0.4186   |    0.6780    | 0.5176  |
[145 /300 ]    | -1.6967  |  0.1743  |  0.7697  |     1.7815      |   0.4089   |    0.7511    | 0.5295  |
[146 /300 ]    | -1.7008  |  0.1853  |  0.7723  |     1.7914      |   0.4124   |    0.7192    | 0.5242  |
[147 /300 ]    | -1.6895  |  0.2147  |  0.7696  |     1.7817      |   0.4427   |    0.6768    | 0.5353  |
[148 /300 ]    | -1.7147  |  0.0190  |  0.7713  |     1.7829      |   0.4098   |    0.7441    | 0.5285  |
