Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[168 /300 ]    |  0.8525  |  0.6912  |    0.5223    |   0.8074   | 0.6343  |
[169 /300 ]    |  0.8533  |  0.6097  |    0.5507    |   0.7371   | 0.6304  |
[170 /300 ]    |  0.8399  |  0.6812  |    0.5398    |   0.7841   | 0.6394  |
[171 /300 ]    |  0.8661  |  0.7775  |    0.5493    |   0.7625   | 0.6386  |
[172 /300 ]    |  0.8355  |  0.6479  |    0.5559    |   0.7523   | 0.6393  |
[173 /300 ]    |  0.8537  |  0.6600  |    0.5432    |   0.7751   | 0.6388  |
[174 /300 ]    |  0.8344  |  0.7673  |    0.5216    |   0.8221   | 0.6383  |
[175 /300 ]    |  0.8086  |  0.6636  |    0.5498    |   0.7700   | 0.6415  |
[176 /300 ]    |  0.8043  |  0.6838  |    0.5299    |   0.7319   | 0.6148  |
[177 /300 ]    |  0.7563  |  0.8237  |    0.5540    |   0.7266   | 0.6287  |
[178 /300 ]    |  0.8429  |  0.7854  |    0.5354    |   0.7435   | 0.6225  |
[179 /300 ]    |  0.7446  |  0.6771  |    0.5560    |   0.7313   | 0.6317  |
[180 /300 ]    |  0.5814  |  0.8238  |    0.5113    |   0.7755   | 0.6163  |
[181 /300 ]    |  1.1137  |  0.5671  |    0.5253    |   0.7049   | 0.6020  |
[182 /300 ]    |  0.5401  |  0.8663  |    0.5198    |   0.7327   | 0.6082  |
[183 /300 ]    |  0.2770  |  1.4439  |    0.4550    |   0.6963   | 0.5503  |
[184 /300 ]    |  0.3140  |  1.2630  |    0.4222    |   0.7304   | 0.5351  |
[185 /300 ]    |  0.2497  |  1.5166  |    0.4315    |   0.6840   | 0.5292  |
[186 /300 ]    |  0.4400  |  1.2005  |    0.4279    |   0.6821   | 0.5259  |
[187 /300 ]    |  0.3801  |  1.8074  |    0.4186    |   0.5951   | 0.4915  |
[188 /300 ]    |  0.5849  |  1.2419  |    0.4481    |   0.6780   | 0.5396  |
[189 /300 ]    |  0.5302  |  1.0583  |    0.4641    |   0.7544   | 0.5747  |
[190 /300 ]    |  0.6934  |  0.8443  |    0.5323    |   0.7736   | 0.6307  |
[191 /300 ]    |  0.8265  |  0.6909  |    0.5497    |   0.8119   | 0.6556  |
[192 /300 ]    |  0.8436  |  0.7060  |    0.5446    |   0.8094   | 0.6511  |
[193 /300 ]    |  0.8089  |  0.6641  |    0.5503    |   0.8173   | 0.6578  |
[194 /300 ]    |  0.8179  |  0.6730  |    0.5659    |   0.7917   | 0.6600  |
[195 /300 ]    |  0.8320  |  0.6733  |    0.5617    |   0.7724   | 0.6504  |
[196 /300 ]    |  0.8175  |  0.6575  |    0.5452    |   0.8026   | 0.6493  |
[197 /300 ]    |  0.8410  |  0.6626  |    0.5561    |   0.7853   | 0.6511  |
[198 /300 ]    |  0.8298  |  0.6628  |    0.5507    |   0.8077   | 0.6549  |
[199 /300 ]    |  0.8124  |  0.6637  |    0.5458    |   0.7767   | 0.6411  |
[200 /300 ]    |  0.8433  |  0.6518  |    0.5576    |   0.7836   | 0.6516  |
[201 /300 ]    |  0.8421  |  0.6831  |    0.5626    |   0.7857   | 0.6557  |
[202 /300 ]    |  0.8300  |  0.6646  |    0.5443    |   0.7981   | 0.6472  |
[203 /300 ]    |  0.8504  |  0.6603  |    0.5578    |   0.7965   | 0.6561  |
[204 /300 ]    |  0.8529  |  0.6367  |    0.5454    |   0.8117   | 0.6524  |
[205 /300 ]    |  0.8422  |  0.6147  |    0.5426    |   0.8122   | 0.6505  |
[206 /300 ]    |  0.8151  |  0.6558  |    0.5765    |   0.7725   | 0.6603  |
[207 /300 ]    |  0.8262  |  0.6414  |    0.5626    |   0.7894   | 0.6570  |
[208 /300 ]    |  0.8193  |  0.6238  |    0.5454    |   0.7703   | 0.6386  |
[209 /300 ]    |  0.8222  |  0.6328  |    0.5675    |   0.7180   | 0.6339  |
[210 /300 ]    |  0.8384  |  0.6705  |    0.5260    |   0.8084   | 0.6373  |
[211 /300 ]    |  0.8395  |  0.6673  |    0.5445    |   0.7759   | 0.6399  |
[212 /300 ]    |  0.8272  |  0.6587  |    0.5552    |   0.7628   | 0.6426  |
[213 /300 ]    |  0.8329  |  0.7047  |    0.5563    |   0.7858   | 0.6514  |
[214 /300 ]    |  0.8422  |  0.6316  |    0.5559    |   0.7876   | 0.6518  |
[215 /300 ]    |  0.8339  |  0.6391  |    0.5425    |   0.8031   | 0.6476  |
[216 /300 ]    |  0.8235  |  0.7060  |    0.5690    |   0.7339   | 0.6410  |
