Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 91 /300 ]    | -1.0325  | -0.6688  |  0.9557  |     1.0835      |   0.4868   |    0.6103    | 0.5416  |
[ 92 /300 ]    | -1.0192  | -0.7070  |  0.9562  |     1.0702      |   0.4594   |    0.6574    | 0.5408  |
[ 93 /300 ]    | -1.0326  | -0.6789  |  0.9549  |     1.0824      |   0.4694   |    0.6490    | 0.5448  |
[ 94 /300 ]    | -1.0048  | -0.6810  |  0.9577  |     1.0527      |   0.4803   |    0.6488    | 0.5520  |
[ 95 /300 ]    | -1.0293  | -0.7172  |  0.9571  |     1.0782      |   0.4708   |    0.6518    | 0.5467  |
[ 96 /300 ]    | -1.0103  | -0.7057  |  0.9589  |     1.0615      |   0.4938   |    0.6527    | 0.5622  |
[ 97 /300 ]    | -1.0049  | -0.7628  |  0.9586  |     1.0534      |   0.4943   |    0.6498    | 0.5615  |
[ 98 /300 ]    | -1.0010  | -0.7370  |  0.9594  |     1.0468      |   0.5019   |    0.6546    | 0.5682  |
[ 99 /300 ]    | -0.9848  | -0.7479  |  0.9597  |     1.0334      |   0.5416   |    0.5982    | 0.5685  |
[100 /300 ]    | -1.0124  | -0.7698  |  0.9600  |     1.0620      |   0.4487   |    0.7144    | 0.5512  |
[101 /300 ]    | -0.9917  | -0.7903  |  0.9602  |     1.0430      |   0.4932   |    0.6480    | 0.5601  |
[102 /300 ]    | -1.0233  | -0.7919  |  0.9612  |     1.0732      |   0.5241   |    0.6031    | 0.5608  |
[103 /300 ]    | -0.9835  | -0.8038  |  0.9609  |     1.0327      |   0.4923   |    0.6467    | 0.5590  |
[104 /300 ]    | -0.9913  | -0.7721  |  0.9612  |     1.0424      |   0.5062   |    0.6435    | 0.5667  |
[105 /300 ]    | -0.9921  | -0.7951  |  0.9618  |     1.0404      |   0.5490   |    0.6062    | 0.5762  |
[106 /300 ]    | -1.0091  | -0.8147  |  0.9612  |     1.0581      |   0.5168   |    0.6379    | 0.5710  |
[107 /300 ]    | -0.9839  | -0.8022  |  0.9632  |     1.0324      |   0.5123   |    0.6540    | 0.5745  |
[108 /300 ]    | -0.9632  | -0.8307  |  0.9627  |     1.0094      |   0.4934   |    0.6521    | 0.5617  |
[109 /300 ]    | -0.9848  | -0.8160  |  0.9646  |     1.0331      |   0.5085   |    0.6521    | 0.5714  |
[110 /300 ]    | -0.9698  | -0.8621  |  0.9641  |     1.0164      |   0.5357   |    0.6466    | 0.5859  |
[111 /300 ]    | -1.0017  | -0.8314  |  0.9642  |     1.0492      |   0.4997   |    0.6892    | 0.5793  |
[112 /300 ]    | -0.9940  | -0.8707  |  0.9652  |     1.0419      |   0.5008   |    0.6866    | 0.5791  |
[113 /300 ]    | -0.9957  | -0.8832  |  0.9660  |     1.0416      |   0.5202   |    0.6536    | 0.5794  |
[114 /300 ]    | -1.0001  | -0.8797  |  0.9651  |     1.0464      |   0.4987   |    0.6897    | 0.5789  |
[115 /300 ]    | -0.9878  | -0.9464  |  0.9655  |     1.0356      |   0.5107   |    0.6882    | 0.5863  |
[116 /300 ]    | -0.9943  | -0.8744  |  0.9662  |     1.0414      |   0.4980   |    0.6876    | 0.5776  |
[117 /300 ]    | -0.9760  | -0.8668  |  0.9667  |     1.0219      |   0.5181   |    0.6794    | 0.5879  |
[118 /300 ]    | -0.9693  | -0.8862  |  0.9666  |     1.0150      |   0.5422   |    0.6503    | 0.5914  |
[119 /300 ]    | -0.9761  | -0.9312  |  0.9671  |     1.0227      |   0.5378   |    0.6442    | 0.5862  |
[120 /300 ]    | -0.9775  | -0.9310  |  0.9685  |     1.0210      |   0.5315   |    0.6770    | 0.5955  |
[121 /300 ]    | -0.9810  | -0.9690  |  0.9678  |     1.0263      |   0.5171   |    0.6878    | 0.5904  |
[122 /300 ]    | -0.9702  | -0.9531  |  0.9682  |     1.0152      |   0.5434   |    0.6531    | 0.5932  |
[123 /300 ]    | -0.9512  | -0.9440  |  0.9688  |     0.9955      |   0.5418   |    0.6522    | 0.5919  |
[124 /300 ]    | -0.9715  | -0.9823  |  0.9689  |     1.0199      |   0.5250   |    0.6798    | 0.5924  |
[125 /300 ]    | -0.9653  | -0.9366  |  0.9699  |     1.0093      |   0.5437   |    0.6556    | 0.5944  |
[126 /300 ]    | -0.9602  | -0.9461  |  0.9689  |     1.0051      |   0.5294   |    0.6852    | 0.5973  |
[127 /300 ]    | -0.9631  | -0.9778  |  0.9698  |     1.0090      |   0.5474   |    0.6529    | 0.5955  |
[128 /300 ]    | -0.9680  | -1.0037  |  0.9701  |     1.0098      |   0.5531   |    0.6491    | 0.5973  |
[129 /300 ]    | -0.9584  | -1.0241  |  0.9713  |     1.0022      |   0.5255   |    0.6812    | 0.5933  |
[130 /300 ]    | -0.9620  | -0.9678  |  0.9700  |     1.0065      |   0.5258   |    0.7099    | 0.6041  |
