Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[119 /200 ]    |  0.9505  |  0.5698  |    0.5474    |   0.5643   | 0.5557  |
[120 /200 ]    |  0.9442  |  0.5638  |    0.4755    |   0.6471   | 0.5482  |
[121 /200 ]    |  0.9459  |  0.5661  |    0.4750    |   0.6570   | 0.5514  |
[122 /200 ]    |  0.9512  |  0.5629  |    0.5622    |   0.5701   | 0.5661  |
[123 /200 ]    |  0.9544  |  0.5630  |    0.4985    |   0.6541   | 0.5658  |
[124 /200 ]    |  0.9504  |  0.5621  |    0.4935    |   0.6525   | 0.5620  |
[125 /200 ]    |  0.9470  |  0.5633  |    0.5503    |   0.5740   | 0.5619  |
[126 /200 ]    |  0.9462  |  0.5668  |    0.4699    |   0.6564   | 0.5477  |
[127 /200 ]    |  0.9510  |  0.5612  |    0.5079    |   0.6522   | 0.5711  |
[128 /200 ]    |  0.9439  |  0.5631  |    0.5128    |   0.6503   | 0.5734  |
[129 /200 ]    |  0.9451  |  0.5588  |    0.5491    |   0.5810   | 0.5646  |
[130 /200 ]    |  0.9494  |  0.5733  |    0.4976    |   0.6460   | 0.5622  |
[131 /200 ]    |  0.9501  |  0.5599  |    0.5122    |   0.6535   | 0.5743  |
[132 /200 ]    |  0.9438  |  0.5612  |    0.5434    |   0.5689   | 0.5559  |
[133 /200 ]    |  0.9454  |  0.5604  |    0.5054    |   0.6595   | 0.5723  |
[134 /200 ]    |  0.9451  |  0.5640  |    0.5363    |   0.5692   | 0.5522  |
[135 /200 ]    |  0.9498  |  0.5645  |    0.5074    |   0.6426   | 0.5670  |
[136 /200 ]    |  0.9522  |  0.5597  |    0.5054    |   0.6614   | 0.5730  |
[137 /200 ]    |  0.9487  |  0.5622  |    0.5000    |   0.6500   | 0.5652  |
[138 /200 ]    |  0.9492  |  0.5619  |    0.5012    |   0.6531   | 0.5672  |
[139 /200 ]    |  0.9487  |  0.5606  |    0.4945    |   0.6594   | 0.5652  |
[140 /200 ]    |  0.9474  |  0.5638  |    0.5181    |   0.6522   | 0.5775  |
[141 /200 ]    |  0.9474  |  0.5604  |    0.5549    |   0.5691   | 0.5619  |
[142 /200 ]    |  0.9433  |  0.5555  |    0.5057    |   0.6591   | 0.5723  |
[143 /200 ]    |  0.9475  |  0.5627  |    0.5078    |   0.6560   | 0.5725  |
[144 /200 ]    |  0.9486  |  0.5574  |    0.5106    |   0.6457   | 0.5702  |
[145 /200 ]    |  0.9411  |  0.5680  |    0.4941    |   0.6486   | 0.5609  |
[146 /200 ]    |  0.9484  |  0.5588  |    0.5091    |   0.6482   | 0.5703  |
[147 /200 ]    |  0.9462  |  0.5554  |    0.5238    |   0.6561   | 0.5825  |
