Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4803
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[132 /200 ]    | -0.9405  | -0.8845  |  0.0547  |  0.9636  |     0.9820      |    0.5205    |   0.6362   | 0.5726  |
[133 /200 ]    | -0.9523  | -0.9129  |  0.1298  |  0.9636  |     0.9944      |    0.4730    |   0.7263   | 0.5729  |
[134 /200 ]    | -0.9585  | -0.8762  |  0.0674  |  0.9645  |     1.0046      |    0.5098    |   0.6942   | 0.5879  |
[135 /200 ]    | -0.9499  | -0.8941  |  0.0310  |  0.9639  |     0.9939      |    0.4941    |   0.6920   | 0.5765  |
[136 /200 ]    | -0.9293  | -0.8891  |  0.0936  |  0.9647  |     0.9703      |    0.5109    |   0.6917   | 0.5877  |
[137 /200 ]    | -0.9442  | -0.8756  |  0.0643  |  0.9645  |     0.9910      |    0.5078    |   0.6890   | 0.5847  |
[138 /200 ]    | -0.9668  | -0.8937  |  0.1042  |  0.9644  |     1.0101      |    0.5122    |   0.6876   | 0.5871  |
[139 /200 ]    | -0.9468  | -0.9089  |  0.0435  |  0.9660  |     0.9889      |    0.5024    |   0.7225   | 0.5927  |
[140 /200 ]    | -0.9377  | -0.9152  |  0.0689  |  0.9663  |     0.9819      |    0.5104    |   0.6940   | 0.5882  |
[141 /200 ]    | -0.9444  | -0.9301  |  0.0600  |  0.9666  |     0.9861      |    0.4953    |   0.7248   | 0.5885  |
[142 /200 ]    | -0.9275  | -0.9343  |  0.0763  |  0.9649  |     0.9717      |    0.5262    |   0.6899   | 0.5970  |
[143 /200 ]    | -0.9356  | -0.9122  |  0.0694  |  0.9684  |     0.9776      |    0.4992    |   0.7239   | 0.5909  |
[144 /200 ]    | -0.9356  | -0.9098  |  0.0254  |  0.9671  |     0.9770      |    0.5291    |   0.6850   | 0.5971  |
[145 /200 ]    | -0.9374  | -0.9315  |  0.0590  |  0.9671  |     0.9787      |    0.4948    |   0.7474   | 0.5954  |
