Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (fc4): Linear(in_features=312, out_features=156)
  (fc5): Linear(in_features=156, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 87 /300 ]    | -0.9705  | -0.3277  |  0.9266  |     1.0078      |   0.4243   |    0.6365    | 0.5092  |
[ 88 /300 ]    | -0.9374  | -0.3156  |  0.9300  |     0.9800      |   0.4642   |    0.5692    | 0.5113  |
[ 89 /300 ]    | -0.9681  | -0.3495  |  0.9291  |     1.0096      |   0.4356   |    0.6322    | 0.5158  |
[ 90 /300 ]    | -0.9492  | -0.3210  |  0.9314  |     0.9885      |   0.4315   |    0.6344    | 0.5136  |
[ 91 /300 ]    | -0.9363  | -0.2737  |  0.9326  |     0.9772      |   0.4431   |    0.6393    | 0.5234  |
[ 92 /300 ]    | -0.9702  | -0.3321  |  0.9316  |     1.0135      |   0.4408   |    0.6321    | 0.5194  |
[ 93 /300 ]    | -0.9802  | -0.3330  |  0.9330  |     1.0222      |   0.4168   |    0.6774    | 0.5161  |
[ 94 /300 ]    | -0.9546  | -0.3418  |  0.9353  |     0.9929      |   0.4573   |    0.6008    | 0.5194  |
[ 95 /300 ]    | -0.9383  | -0.3291  |  0.9342  |     0.9778      |   0.4402   |    0.6556    | 0.5267  |
[ 96 /300 ]    | -0.9864  | -0.3340  |  0.9353  |     1.0288      |   0.4574   |    0.6287    | 0.5295  |
[ 97 /300 ]    | -0.9616  | -0.3460  |  0.9376  |     1.0032      |   0.4811   |    0.5957    | 0.5323  |
[ 98 /300 ]    | -0.9330  | -0.3377  |  0.9385  |     0.9742      |   0.4331   |    0.6705    | 0.5263  |
[ 99 /300 ]    | -0.9296  | -0.3680  |  0.9384  |     0.9678      |   0.4751   |    0.5922    | 0.5272  |
[100 /300 ]    | -0.9527  | -0.3858  |  0.9384  |     0.9975      |   0.4573   |    0.6514    | 0.5374  |
[101 /300 ]    | -0.9469  | -0.3623  |  0.9397  |     0.9892      |   0.4493   |    0.6517    | 0.5319  |
[102 /300 ]    | -0.9562  | -0.3342  |  0.9404  |     0.9980      |   0.4502   |    0.6563    | 0.5341  |
[103 /300 ]    | -0.9742  | -0.3913  |  0.9404  |     1.0202      |   0.4647   |    0.6532    | 0.5430  |
[104 /300 ]    | -0.9724  | -0.3518  |  0.9415  |     1.0188      |   0.4836   |    0.6266    | 0.5459  |
[105 /300 ]    | -0.9484  | -0.3614  |  0.9454  |     0.9927      |   0.4678   |    0.6528    | 0.5450  |
[106 /300 ]    | -0.9706  | -0.3761  |  0.9431  |     1.0167      |   0.4530   |    0.6697    | 0.5405  |
[107 /300 ]    | -0.9811  | -0.3770  |  0.9435  |     1.0260      |   0.4687   |    0.6251    | 0.5357  |
[108 /300 ]    | -0.9293  | -0.3805  |  0.9446  |     0.9707      |   0.4718   |    0.6470    | 0.5457  |
[109 /300 ]    | -0.9542  | -0.3742  |  0.9451  |     0.9999      |   0.4771   |    0.6445    | 0.5483  |
[110 /300 ]    | -0.9604  | -0.4013  |  0.9449  |     1.0061      |   0.4804   |    0.6448    | 0.5506  |
[111 /300 ]    | -0.9604  | -0.4145  |  0.9477  |     1.0032      |   0.5132   |    0.6193    | 0.5613  |
[112 /300 ]    | -0.9711  | -0.3557  |  0.9474  |     1.0158      |   0.4583   |    0.6702    | 0.5444  |
[113 /300 ]    | -0.9621  | -0.4016  |  0.9480  |     1.0092      |   0.4685   |    0.6651    | 0.5498  |
[114 /300 ]    | -0.9767  | -0.4197  |  0.9487  |     1.0200      |   0.5196   |    0.6228    | 0.5665  |
[115 /300 ]    | -0.9609  | -0.4257  |  0.9510  |     1.0046      |   0.4783   |    0.6675    | 0.5572  |
[116 /300 ]    | -0.9512  | -0.4628  |  0.9503  |     0.9921      |   0.4997   |    0.6482    | 0.5643  |
[117 /300 ]    | -0.9545  | -0.4141  |  0.9510  |     0.9980      |   0.5097   |    0.6253    | 0.5617  |
[118 /300 ]    | -0.9554  | -0.4296  |  0.9524  |     0.9997      |   0.5028   |    0.6449    | 0.5651  |
[119 /300 ]    | -0.9301  | -0.4148  |  0.9519  |     0.9732      |   0.5023   |    0.6468    | 0.5654  |
[120 /300 ]    | -0.9712  | -0.4770  |  0.9507  |     1.0159      |   0.4978   |    0.6461    | 0.5623  |
[121 /300 ]    | -0.9732  | -0.4315  |  0.9522  |     1.0201      |   0.4812   |    0.6741    | 0.5615  |
[122 /300 ]    | -0.9797  | -0.4205  |  0.9533  |     1.0237      |   0.5051   |    0.6503    | 0.5686  |
[123 /300 ]    | -0.9387  | -0.4240  |  0.9545  |     0.9841      |   0.5042   |    0.6513    | 0.5684  |
[124 /300 ]    | -0.9505  | -0.4511  |  0.9538  |     0.9903      |   0.5025   |    0.6527    | 0.5679  |
[125 /300 ]    | -0.9477  | -0.4199  |  0.9545  |     0.9924      |   0.4950   |    0.6709    | 0.5697  |
[126 /300 ]    | -0.9586  | -0.4354  |  0.9555  |     1.0036      |   0.5013   |    0.6717    | 0.5741  |
[127 /300 ]    | -0.9508  | -0.4790  |  0.9553  |     0.9944      |   0.5261   |    0.6443    | 0.5793  |
[128 /300 ]    | -0.9700  | -0.4769  |  0.9563  |     1.0163      |   0.5334   |    0.6180    | 0.5726  |
[129 /300 ]    | -0.9529  | -0.4718  |  0.9568  |     0.9982      |   0.5236   |    0.6518    | 0.5807  |
[130 /300 ]    | -0.9240  | -0.4917  |  0.9573  |     0.9671      |   0.5270   |    0.6529    | 0.5832  |
[131 /300 ]    | -0.9544  | -0.4965  |  0.9589  |     0.9962      |   0.5074   |    0.6700    | 0.5775  |
[132 /300 ]    | -0.9495  | -0.4810  |  0.9581  |     0.9945      |   0.5150   |    0.6735    | 0.5836  |
[133 /300 ]    | -0.9576  | -0.4976  |  0.9575  |     1.0020      |   0.5085   |    0.6749    | 0.5800  |
[134 /300 ]    | -0.9509  | -0.5000  |  0.9587  |     0.9920      |   0.5329   |    0.6547    | 0.5876  |
[135 /300 ]    | -0.9461  | -0.5030  |  0.9596  |     0.9892      |   0.5252   |    0.6507    | 0.5813  |
[136 /300 ]    | -0.9417  | -0.4879  |  0.9589  |     0.9815      |   0.5341   |    0.6504    | 0.5866  |
